ncbi_gene_id	score	claim_name
367	0.02842803758732435	AR
4780	0.016030918004857703	NFE2L2
10919	0.006490648646534789	EHMT2
1576	0.006399355218548451	CYP3A4
51053	0.0036731335137611147	GMNN
7421	0.003294363577918024	VDR
1544	0.003216501818807514	CYP1A2
1565	0.00317051098796435	CYP2D6
216	0.0029972705426017385	ALDH1A1
1557	0.002710586867872761	CYP2C19
3417	0.002652276390250105	IDH1
9682	0.002290030051622377	KDM4A
1559	0.0022730824564266357	CYP2C9
3028	0.002203380526381746	HSD17B10
4137	0.002115918646641939	MAPT
2908	0.0019792885602819533	NR3C1
29994	0.001952081573905484	BAZ2B
7157	0.001781476017090169	TP53
79915	0.0017179204871417926	ATAD5
3757	0.0016922366504434241	KCNH2
6311	0.0015056853409303984	ATXN2
366	0.0014787252904770929	AQP9
5467	0.001473702296659482	PPARD
368	0.0014710713874103829	ABCC6
390245	0.0013835260242546165	KDM4E
3248	0.001295168397020174	HPGD
4088	0.0012658709576703995	SMAD3
2099	0.0011870533184993994	ESR1
7398	0.0011393753256834331	USP1
6097	0.0010816088086250666	RORC
3064	0.0010136829766113195	HTT
10951	0.0009911720664358176	CBX1
11201	0.0009228194908683213	POLI
2237	0.0009214759913978119	FEN1
51426	0.0009120385302008293	POLK
5241	0.0008854197474810402	PGR
6256	0.0008852714519909363	RXRA
5423	0.0008832055911001338	POLB
387129	0.0008555850556180996	NPSR1
628	0.0008513365145299674	NCBI GENE CLIAIM NAME NOT FOUND
2740	0.0008452233990331639	GLP1R
246	0.0008410085528878553	ALOX15
5243	0.0008239779999945048	ABCB1
328	0.0007726559750394951	APEX1
5965	0.000752194819340989	RECQL
196	0.000734152329112253	AHR
3320	0.0007215770594229533	HSP90AA1
54737	0.000701490799932446	MPHOSPH8
2648	0.000682950737798283	KAT2A
3091	0.0006818852370727683	HIF1A
5594	0.0006778915724131258	MAPK1
5429	0.000677271096768548	POLH
1812	0.0006718595947918215	DRD1
6606	0.0006466929510509968	SMN1
6607	0.0006454865868059427	SMN2
7253	0.0006387459215509082	TSHR
7068	0.0006353096058493022	THRB
5347	0.0006108272961636278	PLK1
23435	0.0006041249541801498	TARDBP
9367	0.0006032887855554941	RAB9A
4864	0.0005847409421560028	NPC1
8856	0.000583351236203479	NR1I2
7849	0.0005783089509909281	PAX8
625	0.0005717071662145798	NCBI GENE CLIAIM NAME NOT FOUND
5468	0.0005607692839216915	PPARG
5893	0.0005578052755890714	RAD52
5999	0.0005554588584240133	RGS4
6	0.000555401571617042	NCBI GENE CLIAIM NAME NOT FOUND
8	0.0005062649217139838	NCBI GENE CLIAIM NAME NOT FOUND
317	0.0004956570430278494	APAF1
369	0.0004939607244436681	ARAF
7	0.0004929264782696279	NCBI GENE CLIAIM NAME NOT FOUND
627	0.0004921846279371564	BDNF
2539	0.00048715122168117305	G6PD
2475	0.0004848243831552176	MTOR
1813	0.00048118938160726085	DRD2
641	0.0004741683041288628	BLM
7066	0.0004712030869825377	THPO
1577	0.00046332899229204285	CYP3A5
247	0.0004605760606265229	ALOX15B
1	0.0004571930494873586	A1BG
9971	0.00044661689705011534	NR1H4
4790	0.00044380878204346787	NFKB1
5617	0.0004293957742995513	PRL
55775	0.00042628132197578304	TDP1
2671	0.0004245932611574213	GFER
29127	0.0004233639773194228	RACGAP1
2548	0.0004061984993186127	GAA
60489	0.0004041502131332231	APOBEC3G
7486	0.00040132916300766603	WRN
4286	0.000400488721320089	MITF
5743	0.00040027768511420863	PTGS2
626	0.00039691739687974976	NCBI GENE CLIAIM NAME NOT FOUND
13	0.0003929457281543319	AADAC
2554	0.0003899298195219358	GABRA1
8438	0.00038985931054037764	RAD54L
5465	0.0003875846680593583	PPARA
2560	0.0003875746100744848	GABRB1
2566	0.0003875401257653281	GABRG2
14	0.0003869571479736098	AAMP
3	0.0003847267625499813	A2MP1
2555	0.0003836841364620841	GABRA2
5290	0.00038198378719178487	PIK3CA
3315	0.00037925368575918953	HSPB1
2562	0.00037844424485989226	GABRB3
15	0.0003778638640036811	AANAT
16	0.0003747517571296504	AARS1
2559	0.00037470375596129415	GABRA6
26013	0.00037349804496990887	L3MBTL1
2568	0.00037349767234210715	GABRP
2561	0.00037282946790914923	GABRB2
3576	0.0003720368672713219	CXCL8
55879	0.00037199774868906034	GABRQ
5742	0.0003718934863108045	PTGS1
2556	0.00037136047820177787	GABRA3
2558	0.00037086603199862843	GABRA5
2557	0.0003701081815072956	GABRA4
2100	0.00036973065631474867	ESR2
2567	0.00036968462071396163	GABRG3
2564	0.0003689020978881085	GABRE
2563	0.0003689020978881085	GABRD
2565	0.0003689020978881085	GABRG1
4306	0.0003675966740620061	NR3C2
673	0.00036672535111174285	BRAF
2	0.00036237968995254976	A2M
9970	0.00036230308908820265	NR1I3
3356	0.0003608689459935098	HTR2A
6331	0.00035958453857089207	SCN5A
262	0.0003572458658336525	AMD1
3921	0.00035575068133444785	RPSA
4988	0.0003542425683265989	OPRM1
319	0.00035076612889139893	APOF
2744	0.00034466710862377333	GLS
1814	0.0003431350946331252	DRD3
215	0.0003428898996931975	ABCD1
1555	0.0003427234493307417	CYP2B6
620	0.0003420512365629668	BCYRN1P2
6530	0.00034165991329106963	SLC6A2
10	0.00033889987999806984	NAT2
6532	0.0003366552403016809	SLC6A4
318	0.00033631766160129847	NUDT2
554	0.0003357788343428045	AVPR2
1588	0.00033348926558804246	CYP19A1
154	0.00033187477272659816	ADRB2
3725	0.0003280784419308032	JUN
472	0.0003263326363406614	ATM
4	0.00032484019913423765	NCBI GENE CLIAIM NAME NOT FOUND
8484	0.0003241346736996163	GALR3
200316	0.00032410140696086673	APOBEC3F
5294	0.00032368709741364065	PIK3CG
7525	0.00032338480940272135	YES1
214	0.00032253069081054035	ALCAM
3269	0.0003218607989035848	HRH1
779	0.0003195238103594109	CACNA1S
1131	0.0003174117535288436	CHRM3
4363	0.00031733063165488985	ABCC1
25	0.0003168303674753136	ABL1
12	0.0003167583914116817	SERPINA3
11069	0.00031556129174233337	RAPGEF4
146	0.00031356431285941617	ADRA1D
2064	0.00031169010782334313	ERBB2
217	0.0003103805656482925	ALDH2
5315	0.0003102964127781694	PKM
17	0.000307199967203783	NCBI GENE CLIAIM NAME NOT FOUND
22	0.0003071518103999239	ABCB7
861	0.00030707760073122453	RUNX1
81027	0.00030661435951123613	TUBB1
775	0.00030562579368262284	CACNA1C
595	0.00030484628570784085	CCND1
2950	0.00030412834978609644	GSTP1
7153	0.0003040544585374812	TOP2A
24	0.000303532871164834	ABCA4
581	0.00030316055057686103	BAX
5728	0.000302170578601035	PTEN
2778	0.00030127022973878	GNAS
7280	0.00030090201624851406	TUBB2A
672	0.0003005586416482637	BRCA1
203068	0.0002995834687826728	TUBB
10383	0.00029898686663622004	TUBB4B
7278	0.00029898686663622004	TUBA3C
112714	0.00029898686663622004	TUBA3E
7277	0.00029898686663622004	TUBA4A
10376	0.00029898686663622004	TUBA1B
10382	0.00029898686663621987	TUBB4A
347733	0.00029898686663621987	TUBB2B
10381	0.00029898686663621987	TUBB3
84617	0.00029898686663621987	TUBB6
